__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 19, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-4/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 2, "progress_text": "[------------------] 19/1005   2%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 20, "total_folds": 5, "current_fold": 4, "phase": "tune-trial-4/200", "status": "running", "detail": "mse=3660453.8451", "event": "fold-done", "progress_pct": 2, "progress_text": "[------------------] 20/1005   2%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 20, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-5/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 2, "progress_text": "[------------------] 20/1005   2%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 21, "total_folds": 5, "current_fold": 0, "phase": "tune-trial-5/200", "status": "running", "detail": "mse=27.7639", "event": "fold-done", "progress_pct": 2, "progress_text": "[------------------] 21/1005   2%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 21, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-5/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 2, "progress_text": "[------------------] 21/1005   2%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 22, "total_folds": 5, "current_fold": 1, "phase": "tune-trial-5/200", "status": "running", "detail": "mse=12.6035", "event": "fold-done", "progress_pct": 2, "progress_text": "[------------------] 22/1005   2%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 22, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-5/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 2, "progress_text": "[------------------] 22/1005   2%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 23, "total_folds": 5, "current_fold": 2, "phase": "tune-trial-5/200", "status": "running", "detail": "mse=22.7995", "event": "fold-done", "progress_pct": 2, "progress_text": "[------------------] 23/1005   2%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 23, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-5/200", "status": "running", "detail": null, "event": "fold-start", "progress_pct": 2, "progress_text": "[------------------] 23/1005   2%"}
__NF_PROGRESS__{"job_name": "NHITS", "model_index": 1, "total_models": 1, "total_steps": 1005, "completed_steps": 24, "total_folds": 5, "current_fold": 3, "phase": "tune-trial-5/200", "status": "running", "detail": "mse=3.2612", "event": "fold-done", "progress_pct": 2, "progress_text": "[------------------] 24/1005   2%"}
